source_document_number,recognized_at,explanation
"2MX7MB7J6-V2-PO1",2023-12-31 00:00:00,'Internal orders to include'
"2KH210CXV-V1-PO1",2023-12-31 00:00:00,'Internal orders to include'
"2QQDXH4H9-V1-PO1",2023-12-31 00:00:00,'Internal orders to include'
"29T0LGTS3-V3-PO1",2023-12-31 00:00:00,'Internal orders to include'
"2K51CGBSJ-V29-PO1",2023-12-31 00:00:00,'Internal orders to include'
"2M3BMX9W4-V3-PO1",2023-12-31 00:00:00,'Internal orders to include'
"27VPKRRXV-V1-PO1","2022-09-29" 00:00:00,'Internal orders to include'
"27VPND33C-V1-PO1","2022-09-29" 00:00:00,'Internal orders to include'
"27VPND33C-V1-PO2","2022-09-29" 00:00:00,'Internal orders to include'
"29T6PF3QD-V1-PO1","2022-11-17" 00:00:00,'Internal orders to include'
